year,level_1,level_2,value
1980,Total,Under 5 Years,87
1980,Total,5-9 Years,474
1980,Total,10-14 Years,226
1980,Total,15-19 Years,128
1980,Total,20-24 Years,74
1980,Total,25-29 Years,32
1980,Total,30 Years & Over,25
1981,Total,Under 5 Years,96
1981,Total,5-9 Years,544
1981,Total,10-14 Years,240
1981,Total,15-19 Years,157
1981,Total,20-24 Years,110
1981,Total,25-29 Years,47
1981,Total,30 Years & Over,34
1982,Total,Under 5 Years,132
1982,Total,5-9 Years,567
1982,Total,10-14 Years,282
1982,Total,15-19 Years,143
1982,Total,20-24 Years,87
1982,Total,25-29 Years,40
1982,Total,30 Years & Over,55
1983,Total,Under 5 Years,124
1983,Total,5-9 Years,648
1983,Total,10-14 Years,268
1983,Total,15-19 Years,145
1983,Total,20-24 Years,100
1983,Total,25-29 Years,37
1983,Total,30 Years & Over,36
1984,Total,Under 5 Years,131
1984,Total,5-9 Years,550
1984,Total,10-14 Years,375
1984,Total,15-19 Years,145
1984,Total,20-24 Years,96
1984,Total,25-29 Years,52
1984,Total,30 Years & Over,42
1985,Total,Under 5 Years,146
1985,Total,5-9 Years,512
1985,Total,10-14 Years,359
1985,Total,15-19 Years,141
1985,Total,20-24 Years,73
1985,Total,25-29 Years,45
1985,Total,30 Years & Over,34
1986,Total,Under 5 Years,162
1986,Total,5-9 Years,570
1986,Total,10-14 Years,437
1986,Total,15-19 Years,144
1986,Total,20-24 Years,83
1986,Total,25-29 Years,45
1986,Total,30 Years & Over,44
1987,Total,Under 5 Years,154
1987,Total,5-9 Years,595
1987,Total,10-14 Years,459
1987,Total,15-19 Years,154
1987,Total,20-24 Years,89
1987,Total,25-29 Years,45
1987,Total,30 Years & Over,47
1988,Total,Under 5 Years,169
1988,Total,5-9 Years,601
1988,Total,10-14 Years,482
1988,Total,15-19 Years,214
1988,Total,20-24 Years,82
1988,Total,25-29 Years,51
1988,Total,30 Years & Over,44
1989,Total,Under 5 Years,182
1989,Total,5-9 Years,594
1989,Total,10-14 Years,376
1989,Total,15-19 Years,284
1989,Total,20-24 Years,106
1989,Total,25-29 Years,49
1989,Total,30 Years & Over,43
1990,Total,Under 5 Years,208
1990,Total,5-9 Years,833
1990,Total,10-14 Years,519
1990,Total,15-19 Years,370
1990,Total,20-24 Years,143
1990,Total,25-29 Years,52
1990,Total,30 Years & Over,53
1991,Total,Under 5 Years,265
1991,Total,5-9 Years,1005
1991,Total,10-14 Years,646
1991,Total,15-19 Years,524
1991,Total,20-24 Years,189
1991,Total,25-29 Years,91
1991,Total,30 Years & Over,72
1992,Total,Under 5 Years,282
1992,Total,5-9 Years,837
1992,Total,10-14 Years,588
1992,Total,15-19 Years,497
1992,Total,20-24 Years,204
1992,Total,25-29 Years,71
1992,Total,30 Years & Over,86
1993,Total,Under 5 Years,368
1993,Total,5-9 Years,855
1993,Total,10-14 Years,573
1993,Total,15-19 Years,444
1993,Total,20-24 Years,219
1993,Total,25-29 Years,83
1993,Total,30 Years & Over,60
1994,Total,Under 5 Years,394
1994,Total,5-9 Years,720
1994,Total,10-14 Years,575
1994,Total,15-19 Years,398
1994,Total,20-24 Years,266
1994,Total,25-29 Years,85
1994,Total,30 Years & Over,65
1995,Total,Under 5 Years,472
1995,Total,5-9 Years,900
1995,Total,10-14 Years,654
1995,Total,15-19 Years,490
1995,Total,20-24 Years,365
1995,Total,25-29 Years,139
1995,Total,30 Years & Over,107
1996,Total,Under 5 Years,534
1996,Total,5-9 Years,1000
1996,Total,10-14 Years,627
1996,Total,15-19 Years,524
1996,Total,20-24 Years,435
1996,Total,25-29 Years,151
1996,Total,30 Years & Over,97
1997,Total,Under 5 Years,547
1997,Total,5-9 Years,1062
1997,Total,10-14 Years,599
1997,Total,15-19 Years,517
1997,Total,20-24 Years,416
1997,Total,25-29 Years,166
1997,Total,30 Years & Over,168
1998,Total,Under 5 Years,686
1998,Total,5-9 Years,1191
1998,Total,10-14 Years,667
1998,Total,15-19 Years,546
1998,Total,20-24 Years,453
1998,Total,25-29 Years,223
1998,Total,30 Years & Over,158
1999,Total,Under 5 Years,620
1999,Total,5-9 Years,1084
1999,Total,10-14 Years,639
1999,Total,15-19 Years,464
1999,Total,20-24 Years,352
1999,Total,25-29 Years,231
1999,Total,30 Years & Over,131
2000,Total,Under 5 Years,553
2000,Total,5-9 Years,1054
2000,Total,10-14 Years,596
2000,Total,15-19 Years,415
2000,Total,20-24 Years,300
2000,Total,25-29 Years,261
2000,Total,30 Years & Over,157
2001,Total,Under 5 Years,533
2001,Total,5-9 Years,1204
2001,Total,10-14 Years,570
2001,Total,15-19 Years,434
2001,Total,20-24 Years,365
2001,Total,25-29 Years,233
2001,Total,30 Years & Over,152
2002,Total,Under 5 Years,624
2002,Total,5-9 Years,1365
2002,Total,10-14 Years,737
2002,Total,15-19 Years,479
2002,Total,20-24 Years,359
2002,Total,25-29 Years,276
2002,Total,30 Years & Over,166
2003,Total,Under 5 Years,611
2003,Total,5-9 Years,1407
2003,Total,10-14 Years,811
2003,Total,15-19 Years,475
2003,Total,20-24 Years,385
2003,Total,25-29 Years,294
2003,Total,30 Years & Over,205
2004,Total,Under 5 Years,534
2004,Total,5-9 Years,1576
2004,Total,10-14 Years,780
2004,Total,15-19 Years,456
2004,Total,20-24 Years,344
2004,Total,25-29 Years,268
2004,Total,30 Years & Over,235
