year,level_1,level_2,value
1984,Total,Grooms - Secondary & Below,14125
1984,Total,Grooms - Post-secondary,2944
1984,Total,Grooms - University,1633
1984,Brides - Secondary & Below,Grooms - Secondary & Below,13238
1984,Brides - Secondary & Below,Grooms - Post-secondary,1856
1984,Brides - Secondary & Below,Grooms - University,490
1984,Brides - Post-secondary,Grooms - Secondary & Below,825
1984,Brides - Post-secondary,Grooms - Post-secondary,961
1984,Brides - Post-secondary,Grooms - University,434
1984,Brides - University,Grooms - Secondary & Below,62
1984,Brides - University,Grooms - Post-secondary,127
1984,Brides - University,Grooms - University,709
1985,Total,Grooms - Secondary & Below,12912
1985,Total,Grooms - Post-secondary,2745
1985,Total,Grooms - University,1651
1985,Brides - Secondary & Below,Grooms - Secondary & Below,12052
1985,Brides - Secondary & Below,Grooms - Post-secondary,1705
1985,Brides - Secondary & Below,Grooms - University,469
1985,Brides - Post-secondary,Grooms - Secondary & Below,788
1985,Brides - Post-secondary,Grooms - Post-secondary,896
1985,Brides - Post-secondary,Grooms - University,404
1985,Brides - University,Grooms - Secondary & Below,72
1985,Brides - University,Grooms - Post-secondary,144
1985,Brides - University,Grooms - University,778
1986,Total,Grooms - Secondary & Below,10378
1986,Total,Grooms - Post-secondary,2249
1986,Total,Grooms - University,1489
1986,Brides - Secondary & Below,Grooms - Secondary & Below,9656
1986,Brides - Secondary & Below,Grooms - Post-secondary,1369
1986,Brides - Secondary & Below,Grooms - University,340
1986,Brides - Post-secondary,Grooms - Secondary & Below,642
1986,Brides - Post-secondary,Grooms - Post-secondary,755
1986,Brides - Post-secondary,Grooms - University,377
1986,Brides - University,Grooms - Secondary & Below,80
1986,Brides - University,Grooms - Post-secondary,125
1986,Brides - University,Grooms - University,772
1987,Total,Grooms - Secondary & Below,12327
1987,Total,Grooms - Post-secondary,2867
1987,Total,Grooms - University,1918
1987,Brides - Secondary & Below,Grooms - Secondary & Below,11366
1987,Brides - Secondary & Below,Grooms - Post-secondary,1727
1987,Brides - Secondary & Below,Grooms - University,465
1987,Brides - Post-secondary,Grooms - Secondary & Below,866
1987,Brides - Post-secondary,Grooms - Post-secondary,956
1987,Brides - Post-secondary,Grooms - University,490
1987,Brides - University,Grooms - Secondary & Below,95
1987,Brides - University,Grooms - Post-secondary,184
1987,Brides - University,Grooms - University,963
1988,Total,Grooms - Secondary & Below,12721
1988,Total,Grooms - Post-secondary,3361
1988,Total,Grooms - University,2181
1988,Brides - Secondary & Below,Grooms - Secondary & Below,11651
1988,Brides - Secondary & Below,Grooms - Post-secondary,1932
1988,Brides - Secondary & Below,Grooms - University,499
1988,Brides - Post-secondary,Grooms - Secondary & Below,949
1988,Brides - Post-secondary,Grooms - Post-secondary,1202
1988,Brides - Post-secondary,Grooms - University,510
1988,Brides - University,Grooms - Secondary & Below,121
1988,Brides - University,Grooms - Post-secondary,227
1988,Brides - University,Grooms - University,1172
1989,Total,Grooms - Secondary & Below,11555
1989,Total,Grooms - Post-secondary,3158
1989,Total,Grooms - University,2174
1989,Brides - Secondary & Below,Grooms - Secondary & Below,10537
1989,Brides - Secondary & Below,Grooms - Post-secondary,1780
1989,Brides - Secondary & Below,Grooms - University,493
1989,Brides - Post-secondary,Grooms - Secondary & Below,898
1989,Brides - Post-secondary,Grooms - Post-secondary,1132
1989,Brides - Post-secondary,Grooms - University,517
1989,Brides - University,Grooms - Secondary & Below,120
1989,Brides - University,Grooms - Post-secondary,246
1989,Brides - University,Grooms - University,1164
1990,Total,Grooms - Secondary & Below,11371
1990,Total,Grooms - Post-secondary,3415
1990,Total,Grooms - University,2498
1990,Brides - Secondary & Below,Grooms - Secondary & Below,10230
1990,Brides - Secondary & Below,Grooms - Post-secondary,1912
1990,Brides - Secondary & Below,Grooms - University,530
1990,Brides - Post-secondary,Grooms - Secondary & Below,986
1990,Brides - Post-secondary,Grooms - Post-secondary,1243
1990,Brides - Post-secondary,Grooms - University,610
1990,Brides - University,Grooms - Secondary & Below,155
1990,Brides - University,Grooms - Post-secondary,260
1990,Brides - University,Grooms - University,1358
1991,Total,Grooms - Secondary & Below,11306
1991,Total,Grooms - Post-secondary,3849
1991,Total,Grooms - University,2785
1991,Brides - Secondary & Below,Grooms - Secondary & Below,9946
1991,Brides - Secondary & Below,Grooms - Post-secondary,1997
1991,Brides - Secondary & Below,Grooms - University,564
1991,Brides - Post-secondary,Grooms - Secondary & Below,1175
1991,Brides - Post-secondary,Grooms - Post-secondary,1557
1991,Brides - Post-secondary,Grooms - University,633
