year,level_1,value
1984,Total,18703
1984,Brides - Secondary & Below,15584
1984,Brides - Post-secondary,2220
1984,Brides - University,899
1985,Total,17308
1985,Brides - Secondary & Below,14226
1985,Brides - Post-secondary,2088
1985,Brides - University,994
1986,Total,14116
1986,Brides - Secondary & Below,11365
1986,Brides - Post-secondary,1774
1986,Brides - University,977
1987,Total,17112
1987,Brides - Secondary & Below,13558
1987,Brides - Post-secondary,2312
1987,Brides - University,1242
1988,Total,18263
1988,Brides - Secondary & Below,14082
1988,Brides - Post-secondary,2661
1988,Brides - University,1520
1989,Total,16887
1989,Brides - Secondary & Below,12810
1989,Brides - Post-secondary,2547
1989,Brides - University,1530
1990,Total,17284
1990,Brides - Secondary & Below,12672
1990,Brides - Post-secondary,2839
1990,Brides - University,1773
1991,Total,17940
1991,Brides - Secondary & Below,12507
1991,Brides - Post-secondary,3365
1991,Brides - University,2068
1992,Total,18585
1992,Brides - Secondary & Below,12545
1992,Brides - Post-secondary,3795
1992,Brides - University,2245
1993,Total,18312
1993,Brides - Secondary & Below,11718
1993,Brides - Post-secondary,4034
1993,Brides - University,2560
1994,Total,17781
1994,Brides - Secondary & Below,10857
1994,Brides - Post-secondary,4243
1994,Brides - University,2681
1995,Total,17927
1995,Brides - Secondary & Below,10086
1995,Brides - Post-secondary,4613
1995,Brides - University,3228
1996,Total,17095
1996,Brides - Secondary & Below,9045
1996,Brides - Post-secondary,4514
1996,Brides - University,3536
1997,Total,18357
1997,Brides - Secondary & Below,9069
1997,Brides - Post-secondary,5117
1997,Brides - University,4171
1998,Total,15932
1998,Brides - Secondary & Below,7507
1998,Brides - Post-secondary,4393
1998,Brides - University,4032
1999,Total,18190
1999,Brides - Secondary & Below,7712
1999,Brides - Post-secondary,5267
1999,Brides - University,5211
2000,Total,15544
2000,Brides - Secondary & Below,6033
2000,Brides - Post-secondary,4485
2000,Brides - University,5026
2001,Total,15201
2001,Brides - Secondary & Below,5824
2001,Brides - Post-secondary,4341
2001,Brides - University,5036
2002,Total,16122
2002,Brides - Secondary & Below,5383
2002,Brides - Post-secondary,4827
2002,Brides - University,5912
2003,Total,14900
2003,Brides - Secondary & Below,4287
2003,Brides - Post-secondary,4622
2003,Brides - University,5991
2004,Total,14492
2004,Brides - Secondary & Below,4005
2004,Brides - Post-secondary,4539
2004,Brides - University,5948
2005,Total,14731
2005,Brides - Secondary & Below,4126
2005,Brides - Post-secondary,4591
2005,Brides - University,6014
2006,Total,15299
2006,Brides - Secondary & Below,3761
2006,Brides - Post-secondary,4790
2006,Brides - University,6748
2007,Total,15299
2007,Brides - Secondary & Below,3437
2007,Brides - Post-secondary,4644
2007,Brides - University,7218
2008,Total,15676
2008,Brides - Secondary & Below,3180
2008,Brides - Post-secondary,4606
2008,Brides - University,7890
2009,Total,16776
2009,Brides - Secondary & Below,3226
2009,Brides - Post-secondary,4776
2009,Brides - University,8774
2010,Total,15259
2010,Brides - Secondary & Below,2681
2010,Brides - Post-secondary,4012
2010,Brides - University,8566
2011,Total,17338
2011,Brides - Secondary & Below,2840
2011,Brides - Post-secondary,4486
2011,Brides - University,10012
2012,Total,17581
2012,Brides - Secondary & Below,2749
2012,Brides - Post-secondary,4457
2012,Brides - University,10375
2013,Total,16166
2013,Brides - Secondary & Below,2180
2013,Brides - Post-secondary,3961
2013,Brides - University,10025
2014,Total,17575
2014,Brides - Secondary & Below,2025
2014,Brides - Post-secondary,4193
2014,Brides - University,11357
2015,Total,17542
2015,Brides - Secondary & Below,1796
2015,Brides - Post-secondary,4556
2015,Brides - University,11190
2016,Total,17124
2016,Brides - Secondary & Below,1586
2016,Brides - Post-secondary,4286
2016,Brides - University,11252
2017,Total,17471
2017,Brides - Secondary & Below,1354
2017,Brides - Post-secondary,4126
2017,Brides - University,11991
2018,Total,16760
2018,Brides - Secondary & Below,1184
2018,Brides - Post-secondary,3718
2018,Brides - University,11858
2019,Total,15467
2019,Brides - Secondary & Below,1044
2019,Brides - Post-secondary,3373
2019,Brides - University,11050
