year,level_1,value
1980,Total Male Divorcees,1551
1980,Total Female Divorcees,1551
1981,Total Male Divorcees,1842
1981,Total Female Divorcees,1842
1982,Total Male Divorcees,1842
1982,Total Female Divorcees,1842
1983,Total Male Divorcees,2069
1983,Total Female Divorcees,2069
1984,Total Male Divorcees,2028
1984,Total Female Divorcees,2028
1985,Total Male Divorcees,2048
1985,Total Female Divorcees,2048
1986,Total Male Divorcees,2271
1986,Total Female Divorcees,2271
1987,Total Male Divorcees,2339
1987,Total Female Divorcees,2339
1988,Total Male Divorcees,2536
1988,Total Female Divorcees,2536
1989,Total Male Divorcees,2541
1989,Total Female Divorcees,2541
1990,Total Male Divorcees,3150
1990,Total Female Divorcees,3150
1991,Total Male Divorcees,3813
1991,Total Female Divorcees,3813
1992,Total Male Divorcees,3567
1992,Total Female Divorcees,3567
1993,Total Male Divorcees,3826
1993,Total Female Divorcees,3826
1994,Total Male Divorcees,3555
1994,Total Female Divorcees,3555
1995,Total Male Divorcees,4098
1995,Total Female Divorcees,4098
1996,Total Male Divorcees,4447
1996,Total Female Divorcees,4447
1997,Total Male Divorcees,4665
1997,Total Female Divorcees,4665
1998,Total Male Divorcees,5378
1998,Total Female Divorcees,5378
1999,Total Male Divorcees,5065
1999,Total Female Divorcees,5065
2000,Total Male Divorcees,4920
2000,Total Female Divorcees,4920
2001,Total Male Divorcees,4819
2001,Total Female Divorcees,4819
2002,Total Male Divorcees,5522
2002,Total Female Divorcees,5522
2003,Total Male Divorcees,6100
2003,Total Female Divorcees,6100
2004,Total Male Divorcees,5850
2004,Total Female Divorcees,5850
2005,Total Male Divorcees,6393
2005,Total Female Divorcees,6393
2006,Total Male Divorcees,6527
2006,Total Female Divorcees,6527
2007,Total Male Divorcees,6697
2007,Total Female Divorcees,6697
2008,Total Male Divorcees,6771
2008,Total Female Divorcees,6771
2009,Total Male Divorcees,6927
2009,Total Female Divorcees,6927
2010,Total Male Divorcees,6969
2010,Total Female Divorcees,6969
2011,Total Male Divorcees,7234
2011,Total Female Divorcees,7234
2012,Total Male Divorcees,6893
2012,Total Female Divorcees,6893
2013,Total Male Divorcees,7133
2013,Total Female Divorcees,7133
2014,Total Male Divorcees,6861
2014,Total Female Divorcees,6861
2015,Total Male Divorcees,7117
2015,Total Female Divorcees,7117
2016,Total Male Divorcees,7207
2016,Total Female Divorcees,7207
2017,Total Male Divorcees,7207
2017,Total Female Divorcees,7207
2018,Total Male Divorcees,6990
2018,Total Female Divorcees,6990
